"instruction","input","output","year","company","doc_path","context_id"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: What is the value of Home Depot Inc's Cash Flow Margin for the Fiscal Year ending in FY 2020?  Answer with a formula substituted with values. 
Answer:","(13723000000 / 110225000000) * 100","2020","HD","hd-20200202/hd10k02022020_htm.xml","FD2019Q4YTD"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Can you provide the value for Cash Flow Margin from JPMorgan Chase & Co for the Fiscal Year ending in FY 2021?  Answer with a formula substituted with values. 
Answer:","(78084000000 / 121649000000) * 100","2021","JPM","jpm-20211231/jpm-20211231_htm.xml","ia97c6db89a8e4392be10731e62e7ce24_D20210101-20211231"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Please find the Fiscal Year value of Operating Profit Margin for Cisco Systems Inc for FY 2019.  Answer with a formula substituted with values. 
Answer:","(14219000000 / 51904000000) * 100","2019","CSCO","csco-20190727/csco-20190727_htm.xml","FD2019Q4YTD"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Please find the Fiscal Year value of Quick Ratio for Boeing Co for FY 2019.  Answer with a formula substituted with values. 
Answer:","(102229000000 - 76622000000) / 97312000000","2019","BA","ba-20191231/a201912dec3110k_htm.xml","FI2019Q4"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: What was the reported value of Quick Ratio for McDonald’s Corp at the end of the Fiscal Year FY 2021?  Answer with a formula substituted with values. 
Answer:","(7148500000 - 55600000) / 4020000000","2021","MCD","mcd-20211231/mcd-20211231_htm.xml","i430db7efe19448f4b97cd421c8138088_I20211231"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Can you provide the value for Cash Flow Margin from Walt Disney Co for the Fiscal Year ending in FY 2022?  Answer with a formula substituted with values. 
Answer:","(6002000000 / 82722000000) * 100","2022","DIS","dis-20221001/dis-20221001_htm.xml","i32c8ea74f0c742c2a9ae3367c08b24d8_D20211003-20221001"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: How much was Walt Disney Co's Operating Profit Margin for the Fiscal Year concluding in FY 2022?  Answer with a formula substituted with values. 
Answer:","(12121000000 / 82722000000) * 100","2022","DIS","dis-20221001/dis-20221001_htm.xml","i32c8ea74f0c742c2a9ae3367c08b24d8_D20211003-20221001"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: How much was Apple Inc's Equity Multiplier for the Fiscal Year concluding in FY 2022?  Answer with a formula substituted with values. 
Answer:","352755000000 / 50672000000","2022","AAPL","aapl-20220924/aapl-20220924_htm.xml","if3ba800b42a9406abf364f6d45d67e23_I20220924"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Can you provide the value for Cash Flow Margin from JPMorgan Chase & Co for the Fiscal Year ending in FY 2020?  Answer with a formula substituted with values. 
Answer:","(-79910000000 / 119543000000) * 100","2020","JPM","jpm-20201231/jpm-20201231_htm.xml","ice3d569d04fc4df693bff2810f588571_D20200101-20201231"
"You are a knowledgeable XBRL assistant. Your task is to analyze the XBRL context and provide an accurate and very concise answer to the question, The example question can help you to learn the answer format. DO NOT output xml, code, explanation or create new question. 
Example question: Can you provide the formula for Operating Profit Margin from Example Corp for the Fiscal Year ending in FY 2022?
Example answer: (50000000 / 3590000000) * 100
","Question: Please find the Fiscal Year value of Net Profit Margin for Johnson & Johnson for FY 2021.  Answer with a formula substituted with values. 
Answer:","(20878000000 / 93775000000) * 100","2021","JNJ","jnj-20211231/jnj-20211231_htm.xml","i20918a3d76934ae3867fbaabde676443_D20210104-20220102"
